_id,date,center_name,attendance_count
1,2018-06-08,Ormsby Community Center,10
2,2018-06-08,Paulson Community Center,19
3,2018-06-08,Phillips Community Center,107
4,2018-06-08,Ammon Community Center,81
5,2018-06-08,Brookline Community Center,33
6,2018-06-08,Jefferson Community Center,29
7,2018-06-08,Warrington Community Center,15
8,2018-06-08,West Penn Community Center,54
9,2018-06-07,Phillips Community Center,77
10,2018-06-07,Paulson Community Center,25
11,2018-06-07,Ormsby Community Center,17
12,2018-06-07,Ammon Community Center,133
13,2018-06-07,Jefferson Community Center,65
14,2018-06-07,Brookline Community Center,54
15,2018-06-07,West Penn Community Center,30
16,2018-06-07,Warrington Community Center,26
17,2018-06-06,Ormsby Community Center,18
18,2018-06-06,Paulson Community Center,14
19,2018-06-06,Phillips Community Center,122
20,2018-06-06,Ammon Community Center,125
21,2018-06-06,Brookline Community Center,49
22,2018-06-06,Jefferson Community Center,4
23,2018-06-06,Warrington Community Center,20
24,2018-06-06,West Penn Community Center,47
25,2018-06-05,Phillips Community Center,136
26,2018-06-05,Paulson Community Center,19
27,2018-06-05,Ormsby Community Center,25
28,2018-06-05,Ammon Community Center,122
29,2018-06-05,Jefferson Community Center,9
30,2018-06-05,Brookline Community Center,48
31,2018-06-05,West Penn Community Center,68
32,2018-06-05,Warrington Community Center,14
33,2018-06-04,Ormsby Community Center,21
34,2018-06-04,Paulson Community Center,34
35,2018-06-04,Phillips Community Center,112
36,2018-06-04,Ammon Community Center,62
37,2018-06-04,Brookline Community Center,43
38,2018-06-04,Jefferson Community Center,25
39,2018-06-04,Warrington Community Center,19
40,2018-06-04,West Penn Community Center,33
41,2018-06-02,Phillips Community Center,19
42,2018-06-02,Brookline Community Center,20
43,2018-06-02,West Penn Community Center,41
44,2018-06-01,Phillips Community Center,88
45,2018-06-01,Paulson Community Center,19
46,2018-06-01,Ormsby Community Center,15
47,2018-06-01,Ammon Community Center,30
48,2018-06-01,Brookline Community Center,37
49,2018-06-01,Jefferson Community Center,18
50,2018-06-01,West Penn Community Center,41
51,2018-06-01,Warrington Community Center,8
52,2018-05-31,Ormsby Community Center,22
53,2018-05-31,Paulson Community Center,21
54,2018-05-31,Phillips Community Center,87
55,2018-05-31,Ammon Community Center,96
56,2018-05-31,Jefferson Community Center,44
57,2018-05-31,Brookline Community Center,37
58,2018-05-31,Warrington Community Center,31
59,2018-05-31,West Penn Community Center,49
60,2018-05-30,Phillips Community Center,316
61,2018-05-30,Paulson Community Center,20
62,2018-05-30,Ormsby Community Center,14
63,2018-05-30,Ammon Community Center,46
64,2018-05-30,Brookline Community Center,46
65,2018-05-30,Jefferson Community Center,58
66,2018-05-30,West Penn Community Center,63
67,2018-05-30,Warrington Community Center,15
68,2018-05-29,Ormsby Community Center,28
69,2018-05-29,Paulson Community Center,53
70,2018-05-29,Phillips Community Center,87
71,2018-05-29,Ammon Community Center,87
72,2018-05-29,Jefferson Community Center,111
73,2018-05-29,Brookline Community Center,55
74,2018-05-29,Warrington Community Center,17
75,2018-05-29,West Penn Community Center,62
76,2018-05-25,Phillips Community Center,69
77,2018-05-25,Paulson Community Center,23
78,2018-05-25,Ormsby Community Center,45
79,2018-05-25,Brookline Community Center,36
80,2018-05-25,West Penn Community Center,31
81,2018-05-25,Warrington Community Center,10
82,2018-05-24,Ormsby Community Center,54
83,2018-05-24,Paulson Community Center,28
84,2018-05-24,Phillips Community Center,63
85,2018-05-24,Ammon Community Center,98
86,2018-05-24,Brookline Community Center,39
87,2018-05-24,Jefferson Community Center,47
88,2018-05-24,Warrington Community Center,10
89,2018-05-24,West Penn Community Center,94
90,2018-05-23,Phillips Community Center,105
91,2018-05-23,Paulson Community Center,24
92,2018-05-23,Ormsby Community Center,35
