date,close,volume,open,high,low
3/21/2018,171.27,36387880,175.04,175.09,171.26
3/20/2018,175.24,19620520,175.24,176.8,174.94
3/19/2018,175.3,32931110,177.32,177.47,173.66
3/16/2018,178.02,38313330,178.65,179.12,177.62
3/15/2018,178.65,22676520,178.5,180.24,178.0701
3/14/2018,178.44,29334630,180.32,180.52,177.81
3/13/2018,179.97,31464170,182.59,183.5,179.24
3/12/2018,181.72,32191070,180.29,182.39,180.21
3/9/2018,179.98,32130360,177.96,180,177.39
3/8/2018,176.94,24518850,175.48,177.12,175.07
3/7/2018,175.03,31686450,174.94,175.85,174.27
3/6/2018,176.67,23273160,177.91,178.25,176.13
3/5/2018,176.82,27825140,175.21,177.74,174.52
3/2/2018,176.21,38426060,172.8,176.3,172.45
3/1/2018,175,48706170,178.54,179.775,172.66
2/28/2018,178.12,37568080,179.26,180.615,178.05
2/27/2018,178.39,38885510,179.1,180.48,178.16
2/26/2018,178.97,37353670,176.35,179.39,176.21
2/23/2018,175.5,33772050,173.67,175.65,173.54
2/22/2018,172.5,30953760,171.8,173.95,171.71
2/21/2018,171.07,37378070,172.83,174.12,171.01
2/20/2018,171.85,33690660,172.05,174.26,171.42
2/16/2018,172.43,40113790,172.36,174.82,171.77
2/15/2018,172.99,50908540,169.79,173.09,169
2/14/2018,167.37,40382890,163.045,167.54,162.88
2/13/2018,164.34,32483310,161.95,164.75,161.65
2/12/2018,162.71,60774900,158.5,163.89,157.51
2/9/2018,156.41,70583530,157.07,157.89,150.24
2/8/2018,155.15,54145930,160.29,161,155.03
2/7/2018,159.54,51467440,163.085,163.4,159.0685
2/6/2018,163.03,68171940,154.83,163.72,154
2/5/2018,156.49,72215320,159.1,163.88,156
2/2/2018,160.5,85957050,166,166.8,160.1
2/1/2018,167.78,44453230,167.165,168.62,166.76
1/31/2018,167.43,32234520,166.87,168.4417,166.5
1/30/2018,166.97,45635470,165.525,167.37,164.7
1/29/2018,167.96,50565420,170.16,170.16,167.07
1/26/2018,171.51,39075250,172,172,170.06
1/25/2018,171.11,41438280,174.505,174.95,170.53
1/24/2018,174.22,51368540,177.25,177.3,173.2
1/23/2018,177.04,32395870,177.3,179.44,176.82
1/22/2018,177,27052000,177.3,177.78,176.6016
1/19/2018,178.46,31306390,178.61,179.58,177.41
1/18/2018,179.26,31087330,179.37,180.1,178.25
1/17/2018,179.1,34260230,176.15,179.25,175.07
1/16/2018,176.19,29512410,177.9,179.39,176.14
1/12/2018,177.09,25302200,176.18,177.36,175.65
1/11/2018,175.28,18653380,174.59,175.4886,174.49
1/10/2018,174.29,23751690,173.16,174.3,173
1/9/2018,174.33,21532200,174.55,175.06,173.41
1/8/2018,174.35,20523870,174.35,175.61,173.93
1/5/2018,175,23589930,173.44,175.37,173.05
1/4/2018,173.03,22342650,172.54,173.47,172.08
1/3/2018,172.23,29461040,172.53,174.55,171.96
1/2/2018,172.26,25400540,170.16,172.3,169.26
12/29/2017,169.23,25938760,170.52,170.59,169.22
12/28/2017,171.08,16412270,171,171.85,170.48
12/27/2017,170.6,21477380,170.1,170.78,169.71
12/26/2017,170.57,33113340,170.8,171.47,169.679
12/22/2017,175.01,16339690,174.68,175.424,174.5
12/21/2017,175.01,20848660,174.17,176.02,174.1
