rank,bgg_url,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,designer,weight
1,https://boardgamegeek.com/boardgame/174430/gloomhaven,174430,Gloomhaven,1,4,120,60,120,2017,8.98893,8.61858,15376,https://cf.geekdo-images.com/original/img/lDN358RgcYvQfYYN6Oy2TXpifyM=/0x0/pic2437871.jpg,12,"Action / Movement Programming, Co-operative Play, Grid Movement, Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers",25928,"Adventure, Exploration, Fantasy, Fighting, Miniatures",Isaac Childres,3.7543
2,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,161936,Pandemic Legacy: Season 1,2,4,60,60,60,2015,8.6614,8.50163,26063,https://cf.geekdo-images.com/original/img/P_SwsOtPLqgk2ScCgI2YrI9Rg6I=/0x0/pic2452831.png,13,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",41605,"Environmental, Medical","Rob Daviau, Matt Leacock",2.821
3,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,182028,Through the Ages: A New Story of Civilization,2,4,240,180,240,2015,8.60673,8.30183,12352,https://cf.geekdo-images.com/original/img/1d2h-kr4r_9xsss2Br6iMvjR9q0=/0x0/pic2663291.jpg,14,"Action Point Allowance System, Auction/Bidding, Card Drafting",15848,"Card Game, Civilization, Economic",Vlaada Chvátil,4.3678
4,https://boardgamegeek.com/boardgame/167791/terraforming-mars,167791,Terraforming Mars,1,5,120,120,120,2016,8.38461,8.19914,26004,https://cf.geekdo-images.com/original/img/o8z_levBVArPUKI7ZrIysZEs1A0=/0x0/pic3536616.jpg,12,"Card Drafting, Hand Management, Set Collection, Tile Placement, Variable Player Powers",33340,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",Jacob Fryxelius,3.2456
5,https://boardgamegeek.com/boardgame/12333/twilight-struggle,12333,Twilight Struggle,2,2,180,120,180,2005,8.33954,8.19787,31301,https://cf.geekdo-images.com/original/img/ZPnnm7v2RTJ6fAZeeseA5WbC9DU=/0x0/pic361592.jpg,13,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection",42952,"Modern Warfare, Political, Wargame","Ananda Gupta, Jason Matthews",3.5518
6,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,187645,Star Wars: Rebellion,2,4,240,180,240,2016,8.47439,8.16545,13336,https://cf.geekdo-images.com/original/img/QT959HnYmUxmUqSMp0V7LxF1-tA=/0x0/pic2737530.png,14,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Partnerships, Variable Player Powers",20682,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Corey Konieczka,3.6311
7,https://boardgamegeek.com/boardgame/169786/scythe,169786,Scythe,1,5,115,90,115,2016,8.29158,8.108,29219,https://cf.geekdo-images.com/original/img/enxCZt0Cn78-rlvmPvGtOej1ios=/0x0/pic3163924.jpg,14,"Area Control / Area Influence, Grid Movement, Simultaneous Action Selection, Variable Player Powers",38279,"Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building",Jamey Stegmaier,3.3609
8,https://boardgamegeek.com/boardgame/120677/terra-mystica,120677,Terra Mystica,2,5,150,60,150,2012,8.23703,8.09296,29309,https://cf.geekdo-images.com/original/img/CynjY3GgwPTg34abNIv8eLX1pXs=/0x0/pic1356616.jpg,12,"Area Control / Area Influence, Route/Network Building, Variable Phase Order, Variable Player Powers",32637,"Civilization, Economic, Fantasy, Territory Building","Jens Drögemüller, Helge Ostertag",3.9505
9,https://boardgamegeek.com/boardgame/193738/great-western-trail,193738,Great Western Trail,2,4,150,75,150,2016,8.28574,8.04047,13521,https://cf.geekdo-images.com/original/img/U3RnjWjCHNkm4LVps_HNDHeuUI4=/0x0/pic3113247.jpg,12,"Deck / Pool Building, Hand Management, Point to Point Movement",16869,American West,Alexander Pfister,3.7011
10,https://boardgamegeek.com/boardgame/180263/7th-continent,180263,The 7th Continent,1,4,1000,5,1000,2017,8.67228,8.02458,6057,https://cf.geekdo-images.com/original/img/iQDBaRJ2LxJba_M7gPZj24eHwBc=/0x0/pic2648303.jpg,14,"Co-operative Play, Grid Movement, Hand Management, Modular Board, Storytelling, Variable Player Powers",12543,"Adventure, Card Game, Exploration, Horror, Science Fiction","Ludovic Roudy, Bruno Sautter",2.8578
11,https://boardgamegeek.com/boardgame/220308/gaia-project,220308,Gaia Project,1,4,150,60,150,2017,8.68217,8.00732,4860,https://cf.geekdo-images.com/original/img/FpQ2ODFHSgDGfEpskL0Uu2xyYMA=/0x0/pic3763556.jpg,12,"Modular Board, Route/Network Building, Variable Player Powers",6243,"Civilization, Economic, Science Fiction, Territory Building","Jens Drögemüller, Helge Ostertag",4.2966
12,https://boardgamegeek.com/boardgame/84876/castles-burgundy,84876,The Castles of Burgundy,2,4,90,30,90,2011,8.12383,8.00679,31613,https://cf.geekdo-images.com/original/img/w3EsrbF6-Gvr5_qBeF7YL1Rslnk=/0x0/pic1176894.jpg,12,"Dice Rolling, Set Collection, Tile Placement, Variable Phase Order",43992,"Dice, Medieval, Territory Building",Stefan Feld,3.0272
13,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,173346,7 Wonders Duel,2,2,30,30,30,2015,8.14559,8.00627,32165,https://cf.geekdo-images.com/original/img/M6wL1YFgW-PsdtJ328m2QiJf1K8=/0x0/pic3376065.jpg,10,"Card Drafting, Set Collection",49800,"Ancient, Card Game, City Building, Civilization","Antoine Bauza, Bruno Cathala",2.2307
14,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,115746,War of the Ring (Second Edition),2,4,180,150,180,2012,8.37781,7.98727,8217,https://cf.geekdo-images.com/original/img/sAJOZ0c2_gZqXjn2npRgpFvshKo=/0x0/pic1215633.jpg,13,"Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",13216,"Adventure, Fantasy, Fighting, Miniatures, Novel-based, Territory Building, Wargame","Roberto Di Meglio, Marco Maggi, Francesco Nepitello",4.0418
15,https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers,102794,Caverna: The Cave Farmers,1,7,210,30,210,2013,8.1177,7.95343,21145,https://cf.geekdo-images.com/original/img/xLuIh5VNsD57GXfcBox_ZF1jH4o=/0x0/pic1790789.jpg,12,"Tile Placement, Worker Placement",26974,"Animals, Economic, Fantasy, Farming",Uwe Rosenberg,3.7823
16,https://boardgamegeek.com/boardgame/3076/puerto-rico,3076,Puerto Rico,2,5,150,90,150,2002,8.06034,7.94839,52849,https://cf.geekdo-images.com/original/img/RvdWBkmDks7AN8sodR4PyVcponA=/0x0/pic158548.jpg,12,Variable Phase Order,61011,"City Building, Economic, Farming",Andreas Seyfarth,3.2932
17,https://boardgamegeek.com/boardgame/31260/agricola,31260,Agricola,1,5,150,30,150,2007,8.02172,7.92319,53481,https://cf.geekdo-images.com/original/img/L-UBO3rBOmvIrZHZLSXOypyAUPw=/0x0/pic259085.jpg,12,"Area Enclosure, Card Drafting, Hand Management, Variable Player Powers, Worker Placement",64468,"Animals, Economic, Farming",Uwe Rosenberg,3.6326
18,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,96848,Mage Knight Board Game,1,4,240,60,240,2011,8.11816,7.91554,21524,https://cf.geekdo-images.com/original/img/AGyvx6NYd6Kq4HUztAObQVLEFWY=/0x0/pic1083380.jpg,14,"Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Tile Placement, Variable Player Powers",31976,"Adventure, Exploration, Fantasy, Fighting",Vlaada Chvátil,4.2406
