Property,Property Score,Unit Type,Location,Date Posted,Monthly Rent
The Overlook at Shadyside,,Two Bedroom Apartment Home,"Alpharetta, GA",3d,"$1,400 - $1,825 (Landlord est.)"
Brookside Manor,3.2,2BD/2BA,"Birmingham, AL",30d+,"$1,200 - $1,750 (Landlord est.)"
Silverleaf Apartments,2.7,Studio (Utilities Included),"Seattle, WA",4d,"$1,300 - $1,650 (Landlord est.)"
The Fairmount,4.7,3 Bedroom Townhouse,"State College, PA",2d,"$1,750 - $2,200 (Landlord est.)"
Station Square Residences,,1 Bedroom Apartment,"Farmington Hills, MI",26d,"$950 - $1,300 (RentPulse est.)"
The Merchant Lofts,3.7,Two Bedroom / Two Bath,"Bloomington, IN",18d,"$1,175 - $1,675 (Landlord est.)"
The Marigold,3.1,Studio / Open Floor Plan,"Spokane, WA",6d,$825 - $900 (RentPulse est.)
"Lakeview Commons, Phase II",3.5,3 Bed / 2 Bath - Garage Included,"Reno, NV",9d,"$1,925 - $2,700 (Landlord est.)"
Barrett Square Apartments,3.7,Two Bedroom / Two Bath,"New Orleans, LA",14d,"$1,200 - $1,600 (Landlord est.)"
The Landmark at Midtown,4.7,1BR/1BA,"San Francisco, CA",10d,"$1,725 - $2,350 (Landlord est.)"
Harborview Commons,3.4,Micro Studio,"Charlotte, NC",30d+,"$975 - $1,425 (RentPulse est.)"
"Pinnacle Living, Inc.",4.1,1BR,Greater Boston Area,5d,"$1,725 - $2,275 (RentPulse est.)"
The Marigold,4.1,Four Bedroom,Northern Virginia,4d,"$2,750 - $3,525 (RentPulse est.)"
The Coventry,4.9,1BR/1BA,"State College, PA",2d,"$975 - $1,225 (RentPulse est.)"
Sycamore Court,3.9,3 Bed / 2 Bath - Garage Included,"Dallas, TX",2d,"$1,675 - $2,150 (Landlord est.)"
Prospect Point Flats,2.4,1 Bed / 1 Bath + Den,"Erie, PA",9d,$750 - $825 (Landlord est.)
The Ardmore,2.7,Two Bedroom / Two Bath,"Portland, OR",1d,"$1,600 - $2,250 (RentPulse est.)"
Emerald Bay Apartments,3.2,"Three Bed, Two Bath","Colorado Springs, CO",2d,"$2,000 - $2,650 (RentPulse est.)"
Sunset Ridge Apartments,4.0,Two Bedroom / Two Bath,"Portland, OR",2d,"$1,825 - $2,625 (Landlord est.)"
"The Yards at Ohio River, Tower A",2.9,1BR,"Pittsburgh, PA",9d,"$1,075 - $1,500 (Landlord est.)"
"Pinnacle Living, Inc.",4.3,2 Bed / 1 Bath,,30d+,"$2,625 - $3,575 (Landlord est.)"
Quarry Hill Apartments,4.0,4BR/4BA (Per Bed Lease),"Madison, WI",10d,"$1,825 - $2,375 (Landlord est.)"
Cedar Ridge Village,2.9,"Two Bed, Two Bath (Top Floor)","Athens, GA",30d+,"$1,025 - $1,400 (RentPulse est.)"
The Paxton,4.0,1 Bed / 1 Bath + Den,"Alpharetta, GA",30d+,"$1,350 - $1,575 (Landlord est.)"
Granite Falls Apartments,2.4,One Bedroom Apartment Home,"Richmond, VA",3d,
The Alder,2.8,Studio Loft,"Fort Wayne, IN",4d,$650 - $925 (RentPulse est.)
Highland Row,3.1,1 Bedroom Apartment,"Sacramento, CA",9d,"$1,525 - $1,725 (Landlord est.)"
The Juniper,2.7,One Bedroom Townhome,"Des Moines, IA",30d+,"$925 - $1,125 (Landlord est.)"
The Overlook at Shadyside,3.5,Two Bedroom Apartment Home,"Reno, NV",7d,"$1,500 - $1,775 (RentPulse est.)"
"Hartwell Properties, Inc.",3.3,Two Bedroom Apartment Home,"Salt Lake City, UT",30d+,"$1,575 - $2,275 (RentPulse est.)"
Highland Row,4.2,2BD/2BA,"Indianapolis, IN",5d,"$1,275 - $1,500 (Landlord est.)"
The Hadley,3.1,3 Bed / 2.5 Bath,"Chattanooga, TN",30d+,"$1,325 - $1,800 (RentPulse est.)"
Willow Creek Apartments,4.0,3 bed 2 bath,"Omaha, NE",30d+,
Chestnut Hill Commons,4.0,"Three Bed, Two Bath","Phoenix, AZ",2d,"$1,850 - $2,175 (Landlord est.)"
Willow Creek Apartments,,1 Bed/1 Bath (Corner Unit),"Wichita, KS",12d,"$875 - $1,300 (Landlord est.)"
The Landmark at Midtown,,One Bedroom Apartment Home,"Hartford, CT",7d,"$1,250 - $1,675 (Landlord est.)"
Granite Falls Apartments,3.4,Five Bedroom House,"Cary, NC",10d,"$2,025 - $2,825 (Landlord est.)"
Cypress Creek Village,3.8,4 bed 2 bath,"Memphis, TN",5d,"$1,700 - $2,500 (RentPulse est.)"
Foxwood Crossing,4.1,2 Bedroom Apartment,Research Triangle,4d,"$1,625 - $2,200 (RentPulse est.)"
Rosewood Terrace,3.7,Junior Studio,"Boston, MA",2d,"$1,600 - $2,225 (RentPulse est.)"
"Pinnacle Living, Inc.",3.5,Three Bedroom Townhome,"Reno, NV",30d+,
The Hollis,4.9,3 Bedroom Townhouse,"Colorado Springs, CO",5d,"$1,625 - $1,975 (RentPulse est.)"
Granite Falls Apartments,3.9,2 Bed / 2 Bath - Renovated,"Tampa, FL",1d,"$1,675 - $2,325 (RentPulse est.)"
Oakhaven Apartments,4.4,2 bed 2 bath,"Erie, PA",2d,"$925 - $1,175 (Landlord est.)"
"The Grove at Erie, Building C",3.4,1 Bed / 1 Bath,"New Orleans, LA",30d+,"$925 - $1,050 (RentPulse est.)"
Mill District Lofts,3.9,2 Bedroom Apartment,"Des Moines, IA",13d,"$1,300 - $1,575 (Landlord est.)"
"Beacon Residential Group, LLC",2.4,2 Bedroom Townhome,"Cary, NC",11d,"$1,425 - $1,925 (RentPulse est.)"
Ironworks Lofts,3.8,2 Bed / 1.5 Bath,"New Orleans, LA",5d,"$1,525 - $1,750 (RentPulse est.)"
Northgate Apartment Homes,4.4,Two Bedroom,"St. Louis, MO",18d,"$1,050 - $1,425 (Landlord est.)"
The Marigold,2.5,One Bedroom Apartment Home,"Erie, PA",24d,"$875 - $1,025 (Landlord est.)"
Mill District Lofts,4.6,TWO BEDROOM,"Bakersfield, CA",11d,"$1,300 - $1,675 (Landlord est.)"
Ironworks Lofts,3.6,2 Bedroom - Washer/Dryer in Unit,"Columbus, OH",18d,"$1,425 - $2,000 (RentPulse est.)"
Parkview Terrace,3.5,1BR/1BA,"Charlotte, NC",30d+,"$1,100 - $1,300 (RentPulse est.)"
