Company,Company Score,Job Title,Location,Date,Salary
ViewSoft,4.8,Software Engineer,"Manassas, VA",8d,$68K - $94K (Glassdoor est.)
Workiva,4.3,Software Support Engineer,Remote,2d,$61K - $104K (Employer est.)
"Garmin International, Inc.",3.9,C# Software Engineer,"Cary, NC",2d,$95K - $118K (Glassdoor est.)
Snapchat,3.5,"Software Engineer, Fullstack, 1+ Years of Experience","Los Angeles, CA",2d,$97K - $145K (Employer est.)
Vitesco Technologies Group AG,3.1,Software Engineer,"Seguin, TX",2d,$85K - $108K (Glassdoor est.)
Spotify,3.9,Backend Engineer II,"New York, NY",1d,$123K - $175K (Employer est.)
Infor,4.0,Associate Software Engineer,"Alpharetta, GA",7d,$77K - $94K (Glassdoor est.)
Amerisoft Corporation,5.0,Software Developers,"Farmington Hills, MI",30d+,$71K - $100K (Glassdoor est.)
WHOOP,3.3,"Software Engineer II (Backend, Health)","Boston, MA",10d,$94K - $148K (Glassdoor est.)
PFF,4.2,Sr. Software Engineer,Remote,1d,$147K - $189K (Employer est.)
Salesforce,4.1,MTS Software Engineer,"San Francisco, CA",5d,$90K - $113K (Employer est.)
"HealthMine Services, Inc.",3.8,Software Engineer,Remote,1d,$54K - $79K (Glassdoor est.)
Honeywell,4.1,Software Engineer I,"Aguadilla, PR",2d,$91K - $135K (Glassdoor est.)
Legrand AV,3.7,Software Engineer,Minneapolis-Saint Paul,2d,$70K - $135K (Employer est.)
Athenahealth,4.0,"Software Engineer, athenaCollector – RCM Rules","Boston, MA",2d,$192K - $288K (Employer est.)
Amex,4.1,Java Engineer,"Plantation, FL",6d,$100K - $125K (Employer est.)
SOFT LABS NA,5.0,Entry Level to Senior Level Software Developers,"Northborough, MA",30d+,$85K - $127K (Glassdoor est.)
Snapchat,3.5,"Software Engineer, C++","Los Angeles, CA",2d,$69K - $109K (Glassdoor est.)
Hertz,3.2,Software Engineer,"Seattle, WA",2d,$124K - $234K (Employer est.)
Megaport,3.4,Frontend Software Engineer,,2d,$84K - $133K (Glassdoor est.)
"7-Eleven, Inc.",3.4,Software Engineer,"Irving, TX",1d,$85K - $150K (Employer est.)
"Summit Technologies, Inc.",4.2,Software Engineer,"Springfield, MA",10d,$48K - $89K (Glassdoor est.)
Adobe,2.9,Software Development Engineer,"San Jose, CA",10d,$66K - $97K (Glassdoor est.)
The MITRE Corporation,4.0,Associate Software Engineer,"Bedford, MA",2d,$108K - $199K (Employer est.)
Boston Children's Hospital,4.1,Software Engineer - HA (Hybrid),"Boston, MA",30d+,$102K - $173K (Employer est.)
Amex,3.2,Engineer - React/JavaScript,"Sunrise, FL",5d,$124K - $142K (Employer est.)
Ahold Delhaize USA,4.0,Software Engineer - Martech,"Carlisle, PA",2d,$94K - $133K (Glassdoor est.)
Artera Technologies,4.2,Software Engineers,"Annapolis Junction, MD",6d,$70K - $116K (Glassdoor est.)
Adobe,4.3,Software Engineer,"Lehi, UT",13d,$142K - $178K (Employer est.)
Workiva,3.5,Senior Software Engineer,Remote,3d,$87K - $135K (Employer est.)
Samsung Electronics,3.4,Software Engineer,"Mountain View, CA",2d,$77K - $182K (Employer est.)
IPG Photonics,3.7,Software Engineer,"Oxford, MA",4d,$101K - $144K (Glassdoor est.)
Crafty,3.3,Software Engineer,"Chicago, IL",2d,$101K - $168K (Employer est.)
"Crunchyroll, LLC",4.2,"Software Engineer III, Payments","San Francisco, CA",13d,$74K - $118K (Glassdoor est.)
LEGO,3.9,Backend Software Engineer,"Irvine, CA",9d,$100K - $200K (Employer est.)
Principal Financial Group,4.1,Experienced Software Engineer,"Des Moines, IA",2d,$51K - $78K (Glassdoor est.)
INTEL,3.4,Security Software Engineer,"Phoenix, AZ",22d,$71K - $237K (Employer est.)
Hasbro,4.4,"Software Engineer, Unreal Engine","Renton, WA",18d,$87K - $116K (Glassdoor est.)
Software Engineering Institute,4.2,Software Engineer,"Pittsburgh, PA",30d+,$116K - $184K (Employer est.)
University of Dayton,4.4,Associate Software Engineer,"Dayton, OH",2d,$75K - $103K (Glassdoor est.)
MIT,3.7,Software Developer,"Cambridge, MA",17d,$155K - $221K (Employer est.)
Amazon.com Services LLC,5.0,Software Dev Engineer - Computer Science,"Seattle, WA",2d,$112K - $165K (Employer est.)
DaqScribe Solutions,3.9,Jr. Software Engineer,United States,10d,$73K - $109K (Glassdoor est.)
West Virginia University,4.5,Software Engineer - Libraries,"Morgantown, WV",4d,$120K - $150K (Employer est.)
McKesson,3.9,Software Engineer,,2d,$88K - $124K (Glassdoor est.)
Noblis,2.0,Software Engineer (All Levels),"Chantilly, VA",1d,$77K - $87K (Employer est.)
eimagine,3.5,Software Engineer,United States,30d+,$65K - $90K (Employer est.)
CSL SOFTWARE SOLUTIONS,4.1,Software/Database Developer,"Burlington, VT",18d,$74K - $101K (Glassdoor est.)
Chewy,3.8,Software Engineer II,"Bellevue, WA",2d,$74K - $111K (Glassdoor est.)
ERPA,4.3,Software Test Engineer,"Dublin, OH",2d,$147K - $186K (Employer est.)
